year,age,sex,ranking,name
2018,Aged under 25,M,1,NOAH
2018,Aged under 25,M,2,OLIVER
2018,Aged under 25,M,3,LEO
2018,Aged under 25,M,4,ARCHIE
2018,Aged under 25,M,5,ALFIE
2018,Aged under 25,M,6,LOGAN
2018,Aged under 25,M,7,OSCAR
2018,Aged under 25,M,8,GEORGE
2018,Aged under 25,M,9,FREDDIE
2018,Aged under 25,M,10,HUNTER
2018,Aged under 25,M,11,CHARLIE
2018,Aged under 25,M,12,THEO
2018,Aged under 25,M,13,HARRY
2018,Aged under 25,M,14,MASON
2018,Aged under 25,M,15,ARTHUR
2018,Aged under 25,M,16,JACOB
2018,Aged under 25,M,17,ISAAC
2018,Aged under 25,M,18,MUHAMMAD
2018,Aged under 25,M,19,RILEY
2018,Aged under 25,M,20,LUCAS
2018,Aged under 25,M,21,ELIJAH
2018,Aged under 25,M,22,REGGIE
2018,Aged under 25,M,23,TOMMY
2018,Aged under 25,M,24,HARLEY
2018,Aged under 25,M,25,FINLEY
2018,Aged under 25,M,26,CARTER
2018,Aged under 25,M,26,HARRISON
2018,Aged under 25,M,28,ARLO
2018,Aged under 25,M,29,JACK
2018,Aged under 25,M,30,THOMAS
2018,Aged under 25,M,31,JAXON
2018,Aged under 25,M,32,THEODORE
2018,Aged under 25,M,33,LOUIE
2018,Aged under 25,M,34,HENRY
2018,Aged under 25,M,35,TEDDY
2018,Aged under 25,M,36,REUBEN
2018,Aged under 25,M,37,ROMAN
2018,Aged under 25,M,38,MOHAMMED
2018,Aged under 25,M,39,FRANKIE
2018,Aged under 25,M,40,JAMES
2018,Aged under 25,M,41,RONNIE
2018,Aged under 25,M,42,JAYDEN
2018,Aged under 25,M,43,ALBIE
2018,Aged under 25,M,44,WILLIAM
2018,Aged under 25,M,45,HARVEY
2018,Aged under 25,M,46,ETHAN
2018,Aged under 25,M,47,DAVID
2018,Aged under 25,M,48,LUCA
2018,Aged under 25,M,49,JOSEPH
2018,Aged under 25,M,50,JOSHUA
2018,Aged under 25,M,51,JENSON
2018,Aged under 25,M,52,EZRA
2018,Aged under 25,M,53,TYLER
2018,Aged under 25,M,54,HUGO
2018,Aged under 25,M,55,ADAM
2018,Aged under 25,M,56,DANIEL
2018,Aged under 25,M,57,GRAYSON
2018,Aged under 25,M,58,RORY
2018,Aged under 25,M,59,OAKLEY
2018,Aged under 25,M,60,KAI
2018,Aged under 25,M,61,JACKSON
2018,Aged under 25,M,62,OLLIE
2018,Aged under 25,M,63,EDWARD
2018,Aged under 25,M,64,CALEB
2018,Aged under 25,M,65,KAYDEN
2018,Aged under 25,M,66,ALEXANDER
2018,Aged under 25,M,66,DYLAN
2018,Aged under 25,M,68,CHESTER
2018,Aged under 25,M,68,ELLIOT
2018,Aged under 25,M,70,MICHAEL
2018,Aged under 25,M,71,TOBY
2018,Aged under 25,M,72,BOBBY
2018,Aged under 25,M,73,BLAKE
2018,Aged under 25,M,74,MOHAMMAD
2018,Aged under 25,M,75,ZACHARY
2018,Aged under 25,M,76,DOMINIC
2018,Aged under 25,M,76,SEBASTIAN
2018,Aged under 25,M,78,ALBERT
2018,Aged under 25,M,79,LEVI
2018,Aged under 25,M,80,BRODY
2018,Aged under 25,M,81,MAX
2018,Aged under 25,M,81,VINNIE
2018,Aged under 25,M,83,PARKER
2018,Aged under 25,M,84,JESSE
2018,Aged under 25,M,84,LEON
2018,Aged under 25,M,86,CODY
2018,Aged under 25,M,86,ROWAN
2018,Aged under 25,M,88,LINCOLN
2018,Aged under 25,M,89,LIAM
2018,Aged under 25,M,90,JAXSON
2018,Aged under 25,M,91,BENJAMIN
2018,Aged under 25,M,92,HUDSON
2018,Aged under 25,M,93,ELI
2018,Aged under 25,M,93,JOEY
2018,Aged under 25,M,93,KEVIN
2018,Aged under 25,M,96,SONNY
2018,Aged under 25,M,97,ALEX
2018,Aged under 25,M,97,JAKE
2018,Aged under 25,M,97,LOUIS
2018,Aged under 25,M,100,ELLIOTT
2018,Aged under 25,M,100,TOBIAS
2018,Aged under 25,M,102,ELLIS
2018,Aged under 25,M,104,LEWIS
2018,Aged under 25,M,107,GABRIEL
2018,Aged under 25,M,107,SAMUEL
2018,Aged under 25,M,110,MILO
2018,Aged under 25,M,111,JASPER
2018,Aged under 25,M,111,RYAN
2018,Aged under 25,M,115,STANLEY
2018,Aged under 25,M,117,AARON
2018,Aged under 25,M,119,MATTHEW
2018,Aged under 25,M,119,RALPH
2018,Aged under 25,M,121,FREDERICK
2018,Aged under 25,M,124,DEXTER
2018,Aged under 25,M,125,IBRAHIM
2018,Aged under 25,M,127,NATHAN
2018,Aged under 25,M,134,LEONARDO
2018,Aged under 25,M,134,YUSUF
2018,Aged under 25,M,140,JUDE
2018,Aged under 25,M,148,CHARLES
2018,Aged under 25,M,155,LUKE
2018,Aged under 25,M,159,ALFRED
2018,Aged under 25,M,165,AUSTIN
2018,Aged under 25,M,202,RUPERT
2018,Aged under 25,M,212,NATHANIEL
2018,Aged under 25,M,222,FELIX
2018,Aged under 25,M,222,FINN
2018,Aged under 25,M,222,OWEN
2018,Aged under 25,M,242,EVAN
2018,Aged under 25,M,593,MAXIMILIAN
2018,Aged 25 to 29,M,1,OLIVER
2018,Aged 25 to 29,M,2,HARRY
2018,Aged 25 to 29,M,3,GEORGE
2018,Aged 25 to 29,M,4,NOAH
2018,Aged 25 to 29,M,5,ARTHUR
2018,Aged 25 to 29,M,6,MUHAMMAD
2018,Aged 25 to 29,M,7,FREDDIE
2018,Aged 25 to 29,M,8,LEO
2018,Aged 25 to 29,M,9,CHARLIE
2018,Aged 25 to 29,M,10,JACOB
2018,Aged 25 to 29,M,11,JACK
2018,Aged 25 to 29,M,12,OSCAR
2018,Aged 25 to 29,M,13,ARCHIE
2018,Aged 25 to 29,M,14,ALFIE
2018,Aged 25 to 29,M,15,HENRY
2018,Aged 25 to 29,M,16,LOGAN
2018,Aged 25 to 29,M,16,THEO
2018,Aged 25 to 29,M,18,JOSHUA
2018,Aged 25 to 29,M,19,THOMAS
2018,Aged 25 to 29,M,20,ISAAC
2018,Aged 25 to 29,M,21,WILLIAM
2018,Aged 25 to 29,M,22,TEDDY
2018,Aged 25 to 29,M,23,LUCAS
2018,Aged 25 to 29,M,24,JAMES
2018,Aged 25 to 29,M,25,MOHAMMED
2018,Aged 25 to 29,M,26,ARLO
2018,Aged 25 to 29,M,27,FINLEY
2018,Aged 25 to 29,M,28,HARRISON
2018,Aged 25 to 29,M,29,THEODORE
2018,Aged 25 to 29,M,30,ALBIE
2018,Aged 25 to 29,M,31,MASON
2018,Aged 25 to 29,M,31,MAX
2018,Aged 25 to 29,M,33,EDWARD
2018,Aged 25 to 29,M,34,REGGIE
2018,Aged 25 to 29,M,35,JAXON
2018,Aged 25 to 29,M,36,ELIJAH
2018,Aged 25 to 29,M,37,ETHAN
2018,Aged 25 to 29,M,38,ADAM
2018,Aged 25 to 29,M,39,LOUIE
2018,Aged 25 to 29,M,40,TOMMY
2018,Aged 25 to 29,M,40,JOSEPH
2018,Aged 25 to 29,M,42,RORY
2018,Aged 25 to 29,M,43,ALEXANDER
2018,Aged 25 to 29,M,44,HUNTER
2018,Aged 25 to 29,M,45,REUBEN
2018,Aged 25 to 29,M,46,DAVID
2018,Aged 25 to 29,M,47,SEBASTIAN
2018,Aged 25 to 29,M,48,EZRA
2018,Aged 25 to 29,M,49,DANIEL
2018,Aged 25 to 29,M,50,RILEY
2018,Aged 25 to 29,M,51,LUCA
2018,Aged 25 to 29,M,52,ROMAN
2018,Aged 25 to 29,M,53,DYLAN
