year,sex,name,ranking
1904,M,WILLIAM,1
1904,M,JOHN,2
1904,M,GEORGE,3
1904,M,THOMAS,4
1904,M,ARTHUR,5
1904,M,JAMES,6
1904,M,CHARLES,7
1904,M,FREDERICK,8
1904,M,ALBERT,9
1904,M,ERNEST,10
1904,M,ALFRED,11
1904,M,EDWARD,12
1904,M,JOSEPH,13
1904,M,HAROLD,14
1904,M,ROBERT,15
1904,M,FRANK,16
1904,M,HENRY,17
1904,M,HARRY,18
1904,M,WALTER,19
1904,M,REGINALD,20
1904,M,HERBERT,21
1904,M,LEONARD,22
1904,M,STANLEY,23
1904,M,LESLIE,24
1904,M,RICHARD,25
1904,M,CYRIL,26
1904,M,SIDNEY,27
1904,M,FRANCIS,28
1904,M,PERCY,29
1904,M,DAVID,30
1904,M,WILFRED,31
1904,M,SAMUEL,32
1904,M,NORMAN,33
1904,M,CECIL,34
1904,M,ERIC,35
1904,M,SYDNEY,36
1904,M,HORACE,37
1904,M,FRED,38
1904,M,JACK,39
1904,M,EDWIN,40
1904,M,RONALD,41
1904,M,ALEXANDER,42
1904,M,CLIFFORD,43
1904,M,PATRICK,44
1904,M,BERNARD,45
1904,M,MICHAEL,46
1904,M,VICTOR,47
1904,M,PHILIP,48
1904,M,EDGAR,49
1904,M,MAURICE,50
1904,M,DONALD,51
1904,M,KENNETH,52
1904,M,BENJAMIN,53
1904,M,DOUGLAS,54
1904,M,HUGH,55
1904,M,LAWRENCE,56
1904,M,DANIEL,57
1904,M,GEOFFREY,58
1904,M,PETER,59
1904,M,ARCHIBALD,60
1904,M,CHRISTOPHER,61
1904,M,ALAN,62
1904,M,TOM,63
1904,M,GILBERT,64
1904,M,HUBERT,65
1904,M,RALPH,66
1904,M,STEPHEN,67
1904,M,GERALD,68
1904,M,BERTIE,69
1904,M,LEWIS,70
1904,M,ANDREW,71
1904,M,PERCIVAL,72
1904,M,RAYMOND,73
1904,M,BERTRAM,74
1904,M,ARNOLD,75
1904,M,EDMUND,76
1904,M,CLARENCE,77
1904,M,LOUIS,78
1904,M,IVOR,79
1904,M,ROLAND,80
1904,M,MARK,81
1904,M,GORDON,82
1904,M,CLAUDE,83
1904,M,MATTHEW,84
1904,M,MARTIN,85
1904,M,LIONEL,86
1904,M,DENNIS,87
1904,M,EVAN,88
1904,M,HECTOR,89
1904,M,ALEC,90
1904,M,ANTHONY,91
1904,M,ALLAN,92
1904,M,OLIVER,93
1904,M,OWEN,94
1904,M,HOWARD,95
1904,M,COLIN,96
1904,M,MORRIS,97
1904,M,DENIS,98
1904,M,LAURENCE,99
1904,M,JESSE,100
1904,F,MARY,1
1904,F,FLORENCE,2
1904,F,DORIS,3
1904,F,EDITH,4
1904,F,DOROTHY,5
1904,F,ANNIE,6
1904,F,MARGARET,7
1904,F,ALICE,8
1904,F,ELIZABETH,9
1904,F,ELSIE,10
1904,F,GLADYS,11
1904,F,WINIFRED,12
1904,F,ETHEL,13
1904,F,HILDA,14
1904,F,LILIAN,15
1904,F,IVY,16
1904,F,VIOLET,17
1904,F,KATHLEEN,18
1904,F,ELLEN,19
1904,F,LILY,20
1904,F,SARAH,21
1904,F,NELLIE,22
1904,F,EMILY,23
1904,F,MABEL,24
1904,F,ADA,25
1904,F,BEATRICE,26
1904,F,MARJORIE,27
1904,F,MAY,28
1904,F,ROSE,29
1904,F,OLIVE,30
1904,F,EVELYN,31
1904,F,PHYLLIS,32
1904,F,GERTRUDE,33
1904,F,CATHERINE,34
1904,F,AGNES,35
1904,F,JESSIE,36
1904,F,FRANCES,37
1904,F,GRACE,38
1904,F,IRENE,39
1904,F,EVA,40
1904,F,CONSTANCE,41
1904,F,EDNA,42
1904,F,JANE,43
1904,F,AMY,44
1904,F,VERA,45
1904,F,MURIEL,46
1904,F,DAISY,47
1904,F,MINNIE,48
1904,F,MAUD,49
1904,F,LUCY,50
1904,F,EMMA,51
1904,F,ELEANOR,52
1904,F,LOUISA,53
1904,F,DORA,54
1904,F,NORA,55
1904,F,GWENDOLINE,56
1904,F,HELEN,57
1904,F,IDA,58
1904,F,CLARA,59
1904,F,HANNAH,60
1904,F,ANNE,61
1904,F,NORAH,62
1904,F,KATE,63
1904,F,MARTHA,64
1904,F,BERTHA,65
1904,F,LILLIAN,66
1904,F,ANN,67
1904,F,MARION,68
1904,F,BESSIE,69
1904,F,EILEEN,70
1904,F,LAURA,71
1904,F,MILDRED,72
1904,F,RUTH,73
1904,F,ISABELLA,74
1904,F,CHARLOTTE,75
1904,F,ESTHER,76
1904,F,RUBY,77
1904,F,HARRIET,78
1904,F,MARIE,79
1904,F,MARIA,80
1904,F,CAROLINE,81
1904,F,BARBARA,82
1904,F,ELIZA,83
1904,F,ROSINA,84
1904,F,AMELIA,85
1904,F,FREDA,86
1904,F,MILLICENT,87
1904,F,JANET,88
1904,F,FANNY,89
1904,F,JOAN,90
1904,F,LYDIA,91
1904,F,IRIS,92
1904,F,BLANCHE,93
1904,F,MIRIAM,94
1904,F,JEAN,95
1904,F,RACHEL,96
1904,F,ELLA,97
1904,F,MARGERY,98
1904,F,CHRISTINA,99
1904,F,NANCY,100
1914,M,JOHN,1
1914,M,WILLIAM,2
1914,M,GEORGE,3
1914,M,THOMAS,4
1914,M,JAMES,5
1914,M,ARTHUR,6
1914,M,FREDERICK,7
1914,M,ALBERT,8
1914,M,CHARLES,9
1914,M,ROBERT,10
1914,M,EDWARD,11
1914,M,JOSEPH,12
1914,M,ERNEST,13
1914,M,ALFRED,14
1914,M,FRANK,15
1914,M,HENRY,16
1914,M,LESLIE,17
1914,M,HAROLD,18
1914,M,HARRY,19
1914,M,LEONARD,20
1914,M,RONALD,21
1914,M,STANLEY,22
1914,M,WALTER,23
1914,M,REGINALD,24
1914,M,HERBERT,25
1914,M,RICHARD,26
1914,M,ERIC,27
1914,M,NORMAN,28
1914,M,CYRIL,29
1914,M,JACK,30
1914,M,SIDNEY,31
1914,M,DAVID,32
1914,M,KENNETH,33
1914,M,FRANCIS,34
1914,M,WILFRED,35
1914,M,SAMUEL,36
1914,M,SYDNEY,37
1914,M,PATRICK,38
1914,M,MICHAEL,39
1914,M,BERNARD,40
1914,M,DONALD,41
1914,M,PETER,42
1914,M,HORACE,43
1914,M,PERCY,44
1914,M,CLIFFORD,45
1914,M,CECIL,46
1914,M,FRED,47
1914,M,MAURICE,48
1914,M,VICTOR,49
1914,M,EDWIN,50
1914,M,RAYMOND,51
1914,M,PHILIP,52
1914,M,ALEXANDER,53
1914,M,GORDON,54
1914,M,GEOFFREY,55
1914,M,DENNIS,56
1914,M,DOUGLAS,57
1914,M,ALAN,58
1914,M,DANIEL,59
1914,M,RALPH,60
1914,M,HUGH,61
1914,M,LAWRENCE,62
1914,M,BENJAMIN,63
1914,M,ROY,64
1914,M,EDGAR,65
1914,M,CHRISTOPHER,66
1914,M,ANDREW,67
1914,M,STEPHEN,68
1914,M,DENIS,69
1914,M,GERALD,70
1914,M,HUBERT,71
1914,M,GILBERT,72
1914,M,IVOR,73
1914,M,TOM,74
1914,M,ARNOLD,75
1914,M,ANTHONY,76
1914,M,BERTRAM,77
1914,M,LEWIS,78
1914,M,LOUIS,79
1914,M,EDMUND,80
1914,M,LIONEL,81
1914,M,COLIN,82
1914,M,ROLAND,83
1914,M,ALEC,84
1914,M,MATTHEW,85
1914,M,MARTIN,86
1914,M,LAURENCE,87
1914,M,ARCHIBALD,88
1914,M,ALLAN,89
1914,M,CLARENCE,90
1914,M,VINCENT,91
1914,M,BASIL,92
1914,M,PAUL,93
1914,M,PERCIVAL,94
1914,M,HOWARD,95
1914,M,EVAN,96
1914,M,CLAUDE,97
1914,M,OWEN,98
1914,M,PHILLIP,99
1914,M,TREVOR,100
1914,F,MARY,1
1914,F,MARGARET,2
1914,F,DORIS,3
1914,F,DOROTHY,4
1914,F,KATHLEEN,5
1914,F,FLORENCE,6
1914,F,ELSIE,7
1914,F,EDITH,8
1914,F,ELIZABETH,9
1914,F,WINIFRED,10
1914,F,GLADYS,11
1914,F,ANNIE,12
1914,F,ALICE,13
1914,F,PHYLLIS,14
1914,F,HILDA,15
1914,F,LILIAN,16
1914,F,IVY,17
1914,F,MARJORIE,18
1914,F,ETHEL,19
1914,F,VIOLET,20
1914,F,IRENE,21
1914,F,EDNA,22
1914,F,VERA,23
1914,F,ELLEN,24
1914,F,LILY,25
1914,F,OLIVE,26
1914,F,EILEEN,27
1914,F,EVELYN,28
1914,F,JOAN,29
1914,F,ROSE,30
1914,F,SARAH,31
1914,F,NELLIE,32
1914,F,BEATRICE,33
1914,F,MABEL,34
1914,F,MAY,35
1914,F,CATHERINE,36
1914,F,FRANCES,37
1914,F,EMILY,38
1914,F,ADA,39
1914,F,JESSIE,40
1914,F,MURIEL,41
1914,F,GRACE,42
1914,F,AGNES,43
1914,F,CONSTANCE,44
1914,F,GWENDOLINE,45
1914,F,GERTRUDE,46
1914,F,NORA,47
1914,F,EVA,48
1914,F,JOYCE,49
1914,F,NANCY,50
1914,F,JANE,51
1914,F,FREDA,52
1914,F,BARBARA,53
1914,F,DAISY,54
1914,F,ANNE,55
1914,F,NORAH,56
1914,F,AMY,57
1914,F,IRIS,58
1914,F,DORA,59
1914,F,HELEN,60
