year,month,sex,name,count,ranking,prop
1997,Jan,M,JACK,890,1,0.0319936731612625
1997,Jan,M,JAMES,829,2,0.029800848371558
1997,Jan,M,DANIEL,827,3,0.0297289524768136
1997,Jan,M,THOMAS,822,4,0.0295492127399526
1997,Jan,M,JOSHUA,660,5,0.0237256452656553
1997,Jan,M,MATTHEW,547,6,0.0196635272125962
1997,Jan,M,SAMUEL,530,7,0.0190524121072687
1997,Jan,M,JOSEPH,525,8,0.0188726723704076
1997,Jan,M,RYAN,479,9,0.0172190667912862
1997,Jan,M,LIAM,464,10,0.0166798475807031
1997,Jan,M,,27818,0,1
1997,Feb,M,JACK,785,1,0.0308532798805172
1997,Feb,M,JAMES,785,1,0.0308532798805172
1997,Feb,M,DANIEL,747,3,0.0293597453130527
1997,Feb,M,THOMAS,745,4,0.0292811382305546
1997,Feb,M,JOSHUA,607,5,0.0238572495381834
1997,Feb,M,MATTHEW,564,6,0.0221671972644735
1997,Feb,M,RYAN,479,7,0.0188263962583029
1997,Feb,M,SAMUEL,476,8,0.0187084856345557
1997,Feb,M,JOSEPH,455,9,0.0178831112683253
1997,Feb,M,LIAM,414,10,0.0162716660771136
1997,Feb,M,,25443,0,1
1997,Mar,M,JACK,828,1,0.0298798311139981
1997,Mar,M,DANIEL,814,2,0.0293746165782541
1997,Mar,M,JAMES,783,3,0.0282559272491069
1997,Mar,M,THOMAS,769,4,0.0277507127133629
1997,Mar,M,JOSHUA,661,5,0.023853343437624
1997,Mar,M,MATTHEW,634,6,0.0228790011186893
1997,Mar,M,JOSEPH,520,7,0.0187651113276316
1997,Mar,M,SAMUEL,500,8,0.0180433762765689
1997,Mar,M,JORDAN,482,9,0.0173938147306124
1997,Mar,M,RYAN,473,10,0.0170690339576342
1997,Mar,M,,27711,0,1
1997,Apr,M,JACK,843,1,0.0304618053046181
1997,Apr,M,JAMES,837,2,0.03024499530245
1997,Apr,M,THOMAS,784,3,0.0283298402832984
1997,Apr,M,DANIEL,769,4,0.0277878152778782
1997,Apr,M,JOSHUA,658,5,0.0237768302377683
1997,Apr,M,MATTHEW,656,6,0.0237045602370456
1997,Apr,M,SAMUEL,546,7,0.0197297101972971
1997,Apr,M,JOSEPH,490,8,0.0177061501770615
1997,Apr,M,RYAN,475,9,0.0171641251716413
1997,Apr,M,LUKE,455,10,0.0164414251644143
1997,Apr,M,,27674,0,1
1997,May,M,JACK,927,1,0.0324739017725776
