year,region,sex,name,count,ranking,prop
1997,North East,M,DANIEL,538,1,0.0357855527471066
1997,North East,M,JACK,531,2,0.0353199414660104
1997,North East,M,JAMES,458,3,0.0304642809631502
1997,North East,M,MATTHEW,399,4,0.0265398430224824
1997,North East,M,CONNOR,391,5,0.0260077158440867
1997,North East,M,LIAM,385,6,0.02560862046029
1997,North East,M,RYAN,380,7,0.0252760409737927
1997,North East,M,THOMAS,378,8,0.0251430091791938
1997,North East,M,JORDAN,321,9,0.0213516030331249
1997,North East,M,CALLUM,315,10,0.0209525076493282
1997,North East,M,,15034,0,1
1997,North West,M,JACK,1541,1,0.0363717900302115
1997,North West,M,DANIEL,1376,2,0.0324773413897281
1997,North West,M,THOMAS,1365,3,0.0322177114803625
1997,North West,M,JAMES,1327,4,0.0313208081570997
1997,North West,M,MATTHEW,1227,5,0.0289605362537764
1997,North West,M,JOSHUA,1028,6,0.0242635951661631
1997,North West,M,JOSEPH,897,7,0.0211716389728097
1997,North West,M,LIAM,798,8,0.0188349697885196
1997,North West,M,JORDAN,786,9,0.0185517371601208
1997,North West,M,CONNOR,775,10,0.0182921072507553
1997,North West,M,,42368,0,1
1997,Yorkshire and The Humber,M,JACK,1132,1,0.0363916929209799
1997,Yorkshire and The Humber,M,THOMAS,1022,2,0.0328553976724748
1997,Yorkshire and The Humber,M,JAMES,929,3,0.0298656207805568
1997,Yorkshire and The Humber,M,DANIEL,908,4,0.0291905098694786
1997,Yorkshire and The Humber,M,JOSHUA,887,5,0.0285153989584003
1997,Yorkshire and The Humber,M,JOSEPH,682,6,0.0219250305407317
1997,Yorkshire and The Humber,M,MATTHEW,679,7,0.0218285861248634
1997,Yorkshire and The Humber,M,SAMUEL,624,8,0.0200604385006108
1997,Yorkshire and The Humber,M,JORDAN,618,9,0.0198675496688742
1997,Yorkshire and The Humber,M,LUKE,557,10,0.017906513212885
1997,Yorkshire and The Humber,M,,31106,0,1
1997,East Midlands,M,JACK,792,1,0.0319974143503555
1997,East Midlands,M,THOMAS,792,1,0.0319974143503555
1997,East Midlands,M,DANIEL,704,3,0.0284421460892049
1997,East Midlands,M,JAMES,703,4,0.02840174531351
1997,East Midlands,M,JOSHUA,686,5,0.0277149321266968
1997,East Midlands,M,MATTHEW,573,6,0.0231496444731739
1997,East Midlands,M,SAMUEL,501,7,0.0202407886231416
1997,East Midlands,M,RYAN,496,8,0.0200387847446671
1997,East Midlands,M,JOSEPH,471,9,0.0190287653522948
1997,East Midlands,M,JORDAN,465,10,0.0187863606981254
1997,East Midlands,M,,24752,0,1
1997,West Midlands,M,JACK,1091,1,0.031817784129021
1997,West Midlands,M,THOMAS,1024,2,0.0298638047187145
1997,West Midlands,M,JAMES,981,3,0.0286097582315028
1997,West Midlands,M,DANIEL,966,4,0.0281723001545685
1997,West Midlands,M,JOSHUA,870,5,0.025372568462189
1997,West Midlands,M,MATTHEW,754,6,0.0219895593338972
1997,West Midlands,M,RYAN,713,7,0.0207938405902768
1997,West Midlands,M,JORDAN,651,8,0.0189856805389483
1997,West Midlands,M,SAMUEL,628,9,0.0183149114876491
1997,West Midlands,M,JOSEPH,617,10,0.0179941088978973
1997,West Midlands,M,,34289,0,1
1997,East,M,JAMES,1140,1,0.0340095465393795
1997,East,M,JACK,1044,2,0.031145584725537
1997,East,M,THOMAS,1005,3,0.0299821002386635
1997,East,M,DANIEL,897,4,0.0267601431980907
1997,East,M,MATTHEW,835,5,0.0249105011933174
1997,East,M,JOSHUA,740,6,0.0220763723150358
1997,East,M,SAMUEL,735,7,0.0219272076372315
1997,East,M,HARRY,663,8,0.0197792362768496
1997,East,M,RYAN,633,9,0.0188842482100239
1997,East,M,GEORGE,617,10,0.0184069212410501
1997,East,M,,33520,0,1
1997,London,M,JAMES,1207,1,0.0224107839132534
1997,London,M,DANIEL,1112,2,0.0206468862564522
1997,London,M,JACK,1034,3,0.0191986334434996
1997,London,M,THOMAS,904,4,0.0167848787552453
1997,London,M,GEORGE,741,5,0.0137584017230495
1997,London,M,JOSHUA,730,6,0.0135541609417357
1997,London,M,ALEXANDER,714,7,0.0132570834416428
1997,London,M,JOSEPH,710,8,0.0131828140666196
1997,London,M,MATTHEW,681,9,0.0126443610977014
1997,London,M,HARRY,675,10,0.0125329570351665
1997,London,M,,53858,0,1
1997,South East,M,JAMES,1714,1,0.0351467180675457
1997,South East,M,JACK,1574,2,0.032275924293067
1997,South East,M,THOMAS,1551,3,0.0318042938872598
1997,South East,M,DANIEL,1233,4,0.0252834908852298
1997,South East,M,MATTHEW,1231,5,0.0252424795455944
1997,South East,M,SAMUEL,1229,6,0.025201468205959
1997,South East,M,JOSHUA,1156,7,0.0237045543092665
1997,South East,M,HARRY,990,8,0.0203006131195276
1997,South East,M,GEORGE,942,9,0.0193163409682777
1997,South East,M,ALEXANDER,901,10,0.0184756085057518
1997,South East,M,,48767,0,1
1997,South West,M,JAMES,953,1,0.0340697840697841
1997,South West,M,JACK,929,2,0.0332117832117832
1997,South West,M,THOMAS,894,3,0.031960531960532
1997,South West,M,SAMUEL,773,4,0.0276347776347776
1997,South West,M,JOSHUA,763,5,0.0272772772772773
1997,South West,M,DANIEL,760,6,0.0271700271700272
1997,South West,M,MATTHEW,690,7,0.0246675246675247
1997,South West,M,WILLIAM,565,8,0.0201987701987702
1997,South West,M,BENJAMIN,542,9,0.0193765193765194
1997,South West,M,GEORGE,513,10,0.0183397683397683
