year,sex,name,count,rank
1904,B,WILLIAM,,1
1904,B,JOHN,,2
1904,B,GEORGE,,3
1904,B,THOMAS,,4
1904,B,ARTHUR,,5
1904,B,JAMES,,6
1904,B,CHARLES,,7
1904,B,FREDERICK,,8
1904,B,ALBERT,,9
1904,B,ERNEST,,10
1904,B,ALFRED,,11
1904,B,EDWARD,,12
1904,B,JOSEPH,,13
1904,B,HAROLD,,14
1904,B,ROBERT,,15
1904,B,FRANK,,16
1904,B,HENRY,,17
1904,B,HARRY,,18
1904,B,WALTER,,19
1904,B,REGINALD,,20
1904,B,HERBERT,,21
1904,B,LEONARD,,22
1904,B,STANLEY,,23
1904,B,LESLIE,,24
1904,B,RICHARD,,25
1904,B,CYRIL,,26
1904,B,SIDNEY,,27
1904,B,FRANCIS,,28
1904,B,PERCY,,29
1904,B,DAVID,,30
1904,B,WILFRED,,31
1904,B,SAMUEL,,32
1904,B,NORMAN,,33
1904,B,CECIL,,34
1904,B,ERIC,,35
1904,B,SYDNEY,,36
1904,B,HORACE,,37
1904,B,FRED,,38
1904,B,JACK,,39
1904,B,EDWIN,,40
1904,B,RONALD,,41
1904,B,ALEXANDER,,42
1904,B,CLIFFORD,,43
1904,B,PATRICK,,44
1904,B,BERNARD,,45
1904,B,MICHAEL,,46
1904,B,VICTOR,,47
1904,B,PHILIP,,48
1904,B,EDGAR,,49
1904,B,MAURICE,,50
1904,B,DONALD,,51
1904,B,KENNETH,,52
1904,B,BENJAMIN,,53
1904,B,DOUGLAS,,54
1904,B,HUGH,,55
1904,B,LAWRENCE,,56
1904,B,DANIEL,,57
1904,B,GEOFFREY,,58
1904,B,PETER,,59
1904,B,ARCHIBALD,,60
1904,B,CHRISTOPHER,,61
1904,B,ALAN,,62
1904,B,TOM,,63
1904,B,GILBERT,,64
1904,B,HUBERT,,65
1904,B,RALPH,,66
1904,B,STEPHEN,,67
1904,B,GERALD,,68
1904,B,BERTIE,,69
1904,B,LEWIS,,70
1904,B,ANDREW,,71
1904,B,PERCIVAL,,72
1904,B,RAYMOND,,73
1904,B,BERTRAM,,74
1904,B,ARNOLD,,75
1904,B,EDMUND,,76
1904,B,CLARENCE,,77
1904,B,LOUIS,,78
1904,B,IVOR,,79
1904,B,ROLAND,,80
1904,B,MARK,,81
1904,B,GORDON,,82
1904,B,CLAUDE,,83
1904,B,MATTHEW,,84
1904,B,MARTIN,,85
1904,B,LIONEL,,86
1904,B,DENNIS,,87
1904,B,EVAN,,88
1904,B,HECTOR,,89
1904,B,ALEC,,90
1904,B,ANTHONY,,91
1904,B,ALLAN,,92
1904,B,OLIVER,,93
1904,B,OWEN,,94
1904,B,HOWARD,,95
1904,B,COLIN,,96
1904,B,MORRIS,,97
1904,B,DENIS,,98
1904,B,LAURENCE,,99
1904,B,JESSE,,100
1904,G,MARY,,1
1904,G,FLORENCE,,2
1904,G,DORIS,,3
1904,G,EDITH,,4
1904,G,DOROTHY,,5
1904,G,ANNIE,,6
1904,G,MARGARET,,7
1904,G,ALICE,,8
1904,G,ELIZABETH,,9
1904,G,ELSIE,,10
1904,G,GLADYS,,11
1904,G,WINIFRED,,12
1904,G,ETHEL,,13
1904,G,HILDA,,14
1904,G,LILIAN,,15
1904,G,IVY,,16
1904,G,VIOLET,,17
1904,G,KATHLEEN,,18
1904,G,ELLEN,,19
1904,G,LILY,,20
1904,G,SARAH,,21
1904,G,NELLIE,,22
1904,G,EMILY,,23
1904,G,MABEL,,24
1904,G,ADA,,25
1904,G,BEATRICE,,26
1904,G,MARJORIE,,27
1904,G,MAY,,28
1904,G,ROSE,,29
1904,G,OLIVE,,30
1904,G,EVELYN,,31
1904,G,PHYLLIS,,32
1904,G,GERTRUDE,,33
1904,G,CATHERINE,,34
1904,G,AGNES,,35
1904,G,JESSIE,,36
1904,G,FRANCES,,37
1904,G,GRACE,,38
1904,G,IRENE,,39
1904,G,EVA,,40
1904,G,CONSTANCE,,41
1904,G,EDNA,,42
1904,G,JANE,,43
1904,G,AMY,,44
1904,G,VERA,,45
1904,G,MURIEL,,46
1904,G,DAISY,,47
1904,G,MINNIE,,48
1904,G,MAUD,,49
1904,G,LUCY,,50
1904,G,EMMA,,51
1904,G,ELEANOR,,52
1904,G,LOUISA,,53
1904,G,DORA,,54
1904,G,NORA,,55
1904,G,GWENDOLINE,,56
1904,G,HELEN,,57
1904,G,IDA,,58
1904,G,CLARA,,59
1904,G,HANNAH,,60
1904,G,ANNE,,61
1904,G,NORAH,,62
1904,G,KATE,,63
1904,G,MARTHA,,64
1904,G,BERTHA,,65
1904,G,LILLIAN,,66
1904,G,ANN,,67
1904,G,MARION,,68
1904,G,BESSIE,,69
1904,G,EILEEN,,70
1904,G,LAURA,,71
1904,G,MILDRED,,72
1904,G,RUTH,,73
1904,G,ISABELLA,,74
1904,G,CHARLOTTE,,75
1904,G,ESTHER,,76
1904,G,RUBY,,77
1904,G,HARRIET,,78
1904,G,MARIE,,79
1904,G,MARIA,,80
1904,G,CAROLINE,,81
1904,G,BARBARA,,82
1904,G,ELIZA,,83
1904,G,ROSINA,,84
1904,G,AMELIA,,85
1904,G,FREDA,,86
1904,G,MILLICENT,,87
1904,G,JANET,,88
1904,G,FANNY,,89
1904,G,JOAN,,90
1904,G,LYDIA,,91
1904,G,IRIS,,92
1904,G,BLANCHE,,93
1904,G,MIRIAM,,94
1904,G,JEAN,,95
1904,G,RACHEL,,96
1904,G,ELLA,,97
1904,G,MARGERY,,98
1904,G,CHRISTINA,,99
1904,G,NANCY,,100
1914,B,JOHN,,1
1914,B,WILLIAM,,2
1914,B,GEORGE,,3
1914,B,THOMAS,,4
1914,B,JAMES,,5
1914,B,ARTHUR,,6
1914,B,FREDERICK,,7
1914,B,ALBERT,,8
1914,B,CHARLES,,9
1914,B,ROBERT,,10
1914,B,EDWARD,,11
1914,B,JOSEPH,,12
1914,B,ERNEST,,13
1914,B,ALFRED,,14
1914,B,FRANK,,15
1914,B,HENRY,,16
1914,B,LESLIE,,17
1914,B,HAROLD,,18
1914,B,HARRY,,19
1914,B,LEONARD,,20
1914,B,RONALD,,21
1914,B,STANLEY,,22
1914,B,WALTER,,23
1914,B,REGINALD,,24
1914,B,HERBERT,,25
1914,B,RICHARD,,26
1914,B,ERIC,,27
1914,B,NORMAN,,28
1914,B,CYRIL,,29
1914,B,JACK,,30
1914,B,SIDNEY,,31
1914,B,DAVID,,32
1914,B,KENNETH,,33
1914,B,FRANCIS,,34
1914,B,WILFRED,,35
1914,B,SAMUEL,,36
1914,B,SYDNEY,,37
1914,B,PATRICK,,38
1914,B,MICHAEL,,39
1914,B,BERNARD,,40
1914,B,DONALD,,41
1914,B,PETER,,42
1914,B,HORACE,,43
1914,B,PERCY,,44
1914,B,CLIFFORD,,45
1914,B,CECIL,,46
1914,B,FRED,,47
1914,B,MAURICE,,48
1914,B,VICTOR,,49
1914,B,EDWIN,,50
1914,B,RAYMOND,,51
1914,B,PHILIP,,52
1914,B,ALEXANDER,,53
1914,B,GORDON,,54
1914,B,GEOFFREY,,55
1914,B,DENNIS,,56
1914,B,DOUGLAS,,57
1914,B,ALAN,,58
1914,B,DANIEL,,59
1914,B,RALPH,,60
1914,B,HUGH,,61
1914,B,LAWRENCE,,62
1914,B,BENJAMIN,,63
1914,B,ROY,,64
1914,B,EDGAR,,65
1914,B,CHRISTOPHER,,66
1914,B,ANDREW,,67
1914,B,STEPHEN,,68
1914,B,DENIS,,69
1914,B,GERALD,,70
1914,B,HUBERT,,71
1914,B,GILBERT,,72
1914,B,IVOR,,73
1914,B,TOM,,74
1914,B,ARNOLD,,75
1914,B,ANTHONY,,76
1914,B,BERTRAM,,77
1914,B,LEWIS,,78
1914,B,LOUIS,,79
1914,B,EDMUND,,80
1914,B,LIONEL,,81
1914,B,COLIN,,82
1914,B,ROLAND,,83
1914,B,ALEC,,84
1914,B,MATTHEW,,85
1914,B,MARTIN,,86
1914,B,LAURENCE,,87
1914,B,ARCHIBALD,,88
1914,B,ALLAN,,89
1914,B,CLARENCE,,90
1914,B,VINCENT,,91
1914,B,BASIL,,92
1914,B,PAUL,,93
1914,B,PERCIVAL,,94
1914,B,HOWARD,,95
1914,B,EVAN,,96
1914,B,CLAUDE,,97
1914,B,OWEN,,98
1914,B,PHILLIP,,99
1914,B,TREVOR,,100
1914,G,MARY,,1
1914,G,MARGARET,,2
1914,G,DORIS,,3
1914,G,DOROTHY,,4
1914,G,KATHLEEN,,5
1914,G,FLORENCE,,6
1914,G,ELSIE,,7
1914,G,EDITH,,8
1914,G,ELIZABETH,,9
1914,G,WINIFRED,,10
1914,G,GLADYS,,11
1914,G,ANNIE,,12
1914,G,ALICE,,13
1914,G,PHYLLIS,,14
1914,G,HILDA,,15
1914,G,LILIAN,,16
1914,G,IVY,,17
1914,G,MARJORIE,,18
1914,G,ETHEL,,19
1914,G,VIOLET,,20
1914,G,IRENE,,21
1914,G,EDNA,,22
1914,G,VERA,,23
1914,G,ELLEN,,24
1914,G,LILY,,25
1914,G,OLIVE,,26
1914,G,EILEEN,,27
1914,G,EVELYN,,28
1914,G,JOAN,,29
1914,G,ROSE,,30
1914,G,SARAH,,31
1914,G,NELLIE,,32
1914,G,BEATRICE,,33
1914,G,MABEL,,34
1914,G,MAY,,35
1914,G,CATHERINE,,36
1914,G,FRANCES,,37
1914,G,EMILY,,38
1914,G,ADA,,39
1914,G,JESSIE,,40
1914,G,MURIEL,,41
1914,G,GRACE,,42
1914,G,AGNES,,43
1914,G,CONSTANCE,,44
1914,G,GWENDOLINE,,45
1914,G,GERTRUDE,,46
1914,G,NORA,,47
1914,G,EVA,,48
1914,G,JOYCE,,49
1914,G,NANCY,,50
1914,G,JANE,,51
1914,G,FREDA,,52
1914,G,BARBARA,,53
1914,G,DAISY,,54
1914,G,ANNE,,55
1914,G,NORAH,,56
1914,G,AMY,,57
1914,G,IRIS,,58
1914,G,DORA,,59
1914,G,HELEN,,60
1914,G,LUCY,,61
1914,G,RUTH,,62
1914,G,MARION,,63
1914,G,MAUD,,64
1914,G,BETTY,,65
1914,G,MINNIE,,66
1914,G,ELEANOR,,67
1914,G,RUBY,,68
1914,G,IDA,,69
1914,G,HANNAH,,70
1914,G,LILLIAN,,71
1914,G,ANN,,72
1914,G,LOUISA,,73
1914,G,BESSIE,,74
1914,G,JEAN,,75
1914,G,CLARA,,76
1914,G,MARIE,,77
1914,G,DOREEN,,78
1914,G,EMMA,,79
1914,G,MILDRED,,80
1914,G,ISABELLA,,81
1914,G,SYLVIA,,82
1914,G,ESTHER,,83
1914,G,MARTHA,,84
1914,G,BERTHA,,85
1914,G,AUDREY,,86
1914,G,LAURA,,87
1914,G,MARGERY,,88
1914,G,ROSINA,,89
1914,G,MARIA,,90
1914,G,JANET,,91
1914,G,BRIDGET,,92
1914,G,BERYL,,93
1914,G,ENID,,94
1914,G,JOSEPHINE,,95
1914,G,CHARLOTTE,,96
1914,G,KATE,,97
1914,G,AMELIA,,98
1914,G,PATRICIA,,99
1914,G,MILLICENT,,100
1924,B,JOHN,,1
1924,B,WILLIAM,,2
1924,B,GEORGE,,3
1924,B,JAMES,,4
1924,B,THOMAS,,5
1924,B,RONALD,,6
1924,B,KENNETH,,7
1924,B,ROBERT,,8
1924,B,ARTHUR,,9
1924,B,FREDERICK,,10
1924,B,PETER,,11
1924,B,EDWARD,,12
1924,B,ALBERT,,13
1924,B,CHARLES,,14
1924,B,LESLIE,,15
1924,B,JOSEPH,,16
1924,B,STANLEY,,17
1924,B,ERIC,,18
1924,B,FRANK,,19
1924,B,DENNIS,,20
1924,B,DAVID,,21
1924,B,NORMAN,,22
1924,B,ERNEST,,23
1924,B,HENRY,,24
1924,B,LEONARD,,25
1924,B,HAROLD,,26
1924,B,ALFRED,,27
1924,B,RAYMOND,,28
1924,B,DONALD,,29
1924,B,HARRY,,30
1924,B,REGINALD,,31
1924,B,RICHARD,,32
1924,B,JACK,,33
1924,B,WALTER,,34
1924,B,CYRIL,,35
1924,B,GEOFFREY,,36
1924,B,ALAN,,37
1924,B,DOUGLAS,,38
1924,B,GORDON,,39
1924,B,MICHAEL,,40
1924,B,ROY,,41
1924,B,BERNARD,,42
1924,B,FRANCIS,,43
1924,B,PATRICK,,44
1924,B,SIDNEY,,45
1924,B,HERBERT,,46
1924,B,MAURICE,,47
1924,B,CLIFFORD,,48
1924,B,ANTHONY,,49
1924,B,VICTOR,,50
1924,B,GERALD,,51
1924,B,DEREK,,52
1924,B,PHILIP,,53
1924,B,ALEXANDER,,54
1924,B,WILFRED,,55
1924,B,EDWIN,,56
1924,B,SAMUEL,,57
1924,B,DENIS,,58
1924,B,SYDNEY,,59
1924,B,CECIL,,60
1924,B,COLIN,,61
1924,B,LAWRENCE,,62
1924,B,FRED,,63
1924,B,RALPH,,64
1924,B,DESMOND,,65
1924,B,BRIAN,,66
1924,B,PERCY,,67
1924,B,TERENCE,,68
1924,B,CHRISTOPHER,,69
1924,B,HORACE,,70
1924,B,HUGH,,71
1924,B,DANIEL,,72
1924,B,ANDREW,,73
1924,B,DERRICK,,74
1924,B,ALLAN,,75
1924,B,STEPHEN,,76
1924,B,IVOR,,77
1924,B,VINCENT,,78
1924,B,TREVOR,,79
1924,B,BASIL,,80
1924,B,ARNOLD,,81
1924,B,ROLAND,,82
1924,B,BENJAMIN,,83
1924,B,EDGAR,,84
1924,B,IAN,,85
1924,B,KEITH,,86
1924,B,HUBERT,,87
1924,B,PAUL,,88
1924,B,MARTIN,,89
1924,B,LIONEL,,90
1924,B,MOHAMMED,,91
1924,B,GRAHAM,,92
1924,B,HOWARD,,93
1924,B,ALEC,,94
1924,B,GILBERT,,95
1924,B,EDMUND,,96
1924,B,IVAN,,97
1924,B,LEWIS,,98
1924,B,OWEN,,99
1924,B,LAURENCE,,100
1924,G,MARGARET,,1
1924,G,MARY,,2
1924,G,JOAN,,3
1924,G,JOYCE,,4
1924,G,DOROTHY,,5
1924,G,KATHLEEN,,6
1924,G,DORIS,,7
1924,G,IRENE,,8
1924,G,ELIZABETH,,9
1924,G,EILEEN,,10
1924,G,BETTY,,11
1924,G,JEAN,,12
1924,G,MARJORIE,,13
1924,G,GLADYS,,14
1924,G,DOREEN,,15
1924,G,VERA,,16
1924,G,ELSIE,,17
1924,G,BARBARA,,18
1924,G,WINIFRED,,19
1924,G,EDNA,,20
1924,G,AUDREY,,21
1924,G,EDITH,,22
1924,G,FLORENCE,,23
1924,G,PHYLLIS,,24
1924,G,LILIAN,,25
1924,G,HILDA,,26
1924,G,OLIVE,,27
1924,G,ANNIE,,28
1924,G,VIOLET,,29
1924,G,ALICE,,30
1924,G,PATRICIA,,31
1924,G,IVY,,32
1924,G,MURIEL,,33
1924,G,IRIS,,34
1924,G,EVELYN,,35
1924,G,PEGGY,,36
1924,G,CATHERINE,,37
1924,G,ETHEL,,38
1924,G,BERYL,,39
1924,G,GWENDOLINE,,40
1924,G,ELLEN,,41
1924,G,SYLVIA,,42
1924,G,SHEILA,,43
1924,G,ROSE,,44
1924,G,CONSTANCE,,45
1924,G,FRANCES,,46
1924,G,LILY,,47
1924,G,FREDA,,48
1924,G,MARION,,49
1924,G,NANCY,,50
1924,G,GRACE,,51
1924,G,BEATRICE,,52
1924,G,SARAH,,53
1924,G,AGNES,,54
1924,G,RUTH,,55
1924,G,MAY,,56
1924,G,NORA,,57
1924,G,BRENDA,,58
1924,G,JESSIE,,59
1924,G,PAMELA,,60
1924,G,ANNE,,61
1924,G,HELEN,,62
1924,G,MARIE,,63
1924,G,MABEL,,64
1924,G,EVA,,65
1924,G,MARIA,,66
1924,G,RUBY,,67
1924,G,NELLIE,,68
1924,G,HAZEL,,69
1924,G,EMILY,,70
1924,G,JOSEPHINE,,71
1924,G,DAPHNE,,72
1924,G,JANE,,73
1924,G,ADA,,74
1924,G,PAULINE,,75
1924,G,ANN,,76
1924,G,ENID,,77
1924,G,GERTRUDE,,78
1924,G,RITA,,79
1924,G,JUNE,,80
1924,G,STELLA,,81
1924,G,NORAH,,82
1924,G,MAVIS,,83
1924,G,THELMA,,84
1924,G,MILDRED,,85
1924,G,BRIDGET,,86
1924,G,MONICA,,87
1924,G,DAISY,,88
1924,G,ELEANOR,,89
1924,G,LILLIAN,,90
1924,G,ALMA,,91
1924,G,LUCY,,92
1924,G,DORA,,93
1924,G,CHRISTINE,,94
1924,G,MAUREEN,,95
1924,G,JANET,,96
1924,G,ROSEMARY,,97
1924,G,HANNAH,,98
1924,G,SYBIL,,99
1924,G,AMY,,100
1934,B,JOHN,,1
1934,B,PETER,,2
1934,B,WILLIAM,,3
1934,B,BRIAN,,4
1934,B,DAVID,,5
1934,B,JAMES,,6
1934,B,MICHAEL,,7
1934,B,RONALD,,8
1934,B,KENNETH,,9
1934,B,GEORGE,,10
1934,B,ROBERT,,11
1934,B,THOMAS,,12
1934,B,ALAN,,13
1934,B,DEREK,,14
1934,B,RAYMOND,,15
1934,B,ANTHONY,,16
1934,B,ROY,,17
1934,B,DONALD,,18
1934,B,DENNIS,,19
1934,B,EDWARD,,20
1934,B,GORDON,,21
1934,B,TERENCE,,22
1934,B,JOSEPH,,23
1934,B,FREDERICK,,24
1934,B,ARTHUR,,25
1934,B,COLIN,,26
